,status,duration,credit_history,purpose,amount,savings,employment_duration,installment_rate,personal_status_sex,other_debtors,present_residence,property,age,other_installment_plans,housing,number_credits,job,people_liable,telephone,foreign_worker,credit_risk
0,0,18,4,7,1049,4,1,1,3,3,4,2,21,3,0,4,2,1,0,0,1
1,0,9,4,1,2799,4,2,3,0,3,1 <= ... < 4 yrs,0,36,3,0,3,2,0,0,0,1
2,1,12,3,0,841,1,3,3,3,3,4,0,23,3,0,4,1,1,0,0,1
3,0,12,4,1,2122,4,2,2,0,3,1 <= ... < 4 yrs,0,39,3,0,3,1,0,0,1,1
4,0,12,4,1,2171,4,2,1,0,3,4,2,38,1,1,3,1,1,0,1,1
5,0,10,4,1,2241,4,1,4,0,3,4 <= ... < 7 yrs,0,48,3,0,3,1,0,0,1,1
6,0,8,4,1,3398,4,3,4,0,3,4,0,39,3,1,3,1,1,0,1,1
7,0,6,4,1,1361,4,1,3,0,3,4,0,40,3,1,4,1,0,0,1,1
8,2,18,4,6,1098,4,0,1,3,3,4,1,65,3,1,3,0,1,0,0,1
9,1,24,3,6,3758,100 <= ... <  500 DM,0,4,3,3,4,3,23,3,0,4,0,1,0,0,1
10,0,11,4,1,3905,4,2,3,0,3,1 <= ... < 4 yrs,0,36,3,0,3,2,0,0,0,1
11,0,30,4,8,6187,1,3,4,2,3,4,1,24,3,0,3,2,1,0,0,1
12,0,6,4,6,1957,4,3,4,3,3,4,1,31,3,1,4,2,1,0,0,1
13,1,48,2,9,7582,1,0,3,0,3,4,3,31,3,1,4,3,1,1,0,1
14,0,18,3,6,1936,4,3,3,2,3,4,1,23,3,0,3,1,1,0,0,1
15,0,6,3,6,2647,100 <= ... <  500 DM,2,3,0,3,4 <= ... < 7 yrs,0,44,3,0,4,2,0,0,0,1
16,0,11,4,1,3939,4,2,4,0,3,1 <= ... < 4 yrs,0,40,3,1,3,1,0,0,0,1
17,1,18,3,6,3213,100 <= ... <  500 DM,1,4,2,3,4 <= ... < 7 yrs,0,25,3,0,4,2,1,0,0,1
18,1,36,4,6,2337,4,4,1,0,3,4,0,36,3,1,4,2,1,0,0,1
19,2,11,4,1,7228,4,2,4,0,3,4,2,39,3,1,3,1,1,0,0,1
20,0,6,4,1,3676,4,2,4,0,3,4 <= ... < 7 yrs,0,37,3,0,2,2,0,0,0,1
21,1,12,4,1,3124,4,1,4,0,3,4 <= ... < 7 yrs,0,49,1,1,3,1,0,0,0,1
22,1,36,3,4,2384,4,1,1,0,3,1,3,33,3,0,4,1,1,0,0,0
23,1,12,4,2,1424,4,3,1,0,3,4 <= ... < 7 yrs,2,26,3,1,4,2,1,0,0,1
24,0,6,4,1,4716,4,1,4,0,3,4 <= ... < 7 yrs,0,44,3,1,3,1,0,0,0,1
25,1,11,2,6,4771,4,3,3,0,3,4,2,51,3,1,4,2,1,0,0,1
26,0,12,3,7,652,4,4,1,3,3,4,2,24,3,0,4,2,1,0,0,1
27,1,9,4,6,1154,4,4,3,0,3,4,0,37,3,1,2,1,1,0,0,1
28,2,15,3,1,3556,4,2,2,0,3,1 <= ... < 4 yrs,3,29,3,1,4,2,1,0,0,1
29,3,42,4,8,4796,4,4,1,0,3,4,3,56,3,2,4,2,1,0,0,1
30,3,30,4,6,3017,4,4,1,0,3,4,2,47,3,1,4,2,1,0,0,1
31,2,36,4,1,3535,4,3,1,0,3,4,1,37,3,1,3,2,1,1,0,1
32,2,36,4,1,6614,4,4,1,0,3,4,1,34,3,1,3,3,1,1,0,1
33,2,24,3,6,1376,100 <= ... <  500 DM,3,1,3,3,1,1,28,3,1,4,2,1,0,0,1
34,0,15,3,1,1721,4,1,3,0,3,4 <= ... < 7 yrs,0,36,3,1,4,2,1,0,0,1
35,0,6,4,1,860,4,4,4,3,3,4,3,39,3,1,3,2,1,1,0,1
36,2,12,4,1,1495,4,4,1,0,3,1,0,38,3,1,3,1,0,0,0,1
37,2,12,4,6,1934,4,4,3,0,3,1 <= ... < 4 yrs,3,26,3,1,3,2,1,0,0,1
38,2,18,3,8,3378,4,2,3,0,3,1,2,31,3,1,4,2,1,1,0,1
39,2,24,4,8,3868,4,4,1,3,3,1 <= ... < 4 yrs,1,41,3,0,3,3,1,1,0,1
40,2,12,4,4,996,4,3,1,3,3,4,0,23,3,1,3,2,1,0,0,1
41,0,24,3,9,1755,4,4,1,3,2,4,0,58,3,1,4,1,1,1,0,1
42,2,18,4,1,1028,4,2,1,3,3,4 <= ... < 7 yrs,0,36,3,1,3,2,1,0,0,1
43,1,24,4,0,2825,4,3,1,0,3,4 <= ... < 7 yrs,3,34,3,1,3,2,0,1,0,1
44,1,18,3,3,1239,4,2,1,0,3,4,3,61,3,2,4,2,1,0,0,1
45,0,18,3,1,1216,4,1,1,3,3,4 <= ... < 7 yrs,1,23,3,0,4,2,1,1,0,0
46,2,24,3,0,1258,4,3,1,0,3,1,0,25,3,1,4,2,1,1,0,1
47,2,18,4,3,1864,1,2,1,3,3,1 <= ... < 4 yrs,0,30,3,1,3,2,1,0,0,0
48,2,24,3,1,1474,1,1,1,2,3,4 <= ... < 7 yrs,0,33,3,1,4,2,1,1,0,1
49,0,24,4,0,1382,1,3,1,0,3,1,0,26,3,1,3,2,1,1,0,1
50,2,12,3,1,640,4,2,1,1,3,1 <= ... < 4 yrs,0,49,3,1,4,1,1,0,0,1
51,3,36,3,6,3919,4,2,3,0,3,1 <= ... < 4 yrs,0,23,3,1,4,2,1,1,0,1
52,2,9,4,1,1224,4,2,2,0,3,1,0,30,3,1,3,2,1,0,0,1
53,2,12,4,6,2331,4,4,4,0,1,4,0,49,3,1,4,2,1,1,0,1
54,2,24,3,8,6313,4,4,2,0,3,4,1,41,3,1,4,3,0,1,0,1
55,0,12,4,6,385,4,3,1,3,3,4 <= ... < 7 yrs,0,58,3,1,1,1,1,1,0,1
56,2,12,4,6,1655,4,4,3,0,3,4,0,63,3,1,3,1,1,1,0,1
57,0,15,3,6,1053,4,1,1,2,3,1 <= ... < 4 yrs,0,27,3,1,4,2,1,0,1,1
58,2,21,3,6,3160,4,4,1,0,3,4 <= ... < 7 yrs,2,41,3,1,4,2,1,1,0,1
59,2,36,3,1,3079,4,2,1,0,3,4,0,36,3,1,4,2,1,0,0,1
60,2,12,4,1,1163,100 <= ... <  500 DM,2,1,0,3,4,0,44,3,1,4,2,1,1,0,1
61,2,24,3,8,2679,4,1,1,3,3,1,3,29,3,1,4,3,1,1,0,1
62,2,48,4,6,3578,4,4,1,0,3,1,0,47,3,1,4,2,1,1,0,1
63,2,36,2,1,10875,4,4,3,0,3,1 <= ... < 4 yrs,1,45,3,1,3,2,0,1,0,1
64,0,12,2,1,1344,4,2,1,0,3,1 <= ... < 4 yrs,0,43,3,1,3,1,0,0,0,1
65,2,6,4,6,1237,1,2,4,3,3,1,2,27,3,1,3,2,1,0,0,1
66,2,12,3,6,3077,4,2,3,0,3,4,1,52,3,1,4,2,1,1,0,1
67,2,24,3,6,2284,4,3,1,0,3,1 <= ... < 4 yrs,1,28,3,1,4,2,1,1,0,1
68,1,12,3,6,1567,4,2,4,3,3,1,1,22,3,1,4,2,1,1,0,1
69,2,24,2,1,2032,4,4,1,0,3,4,3,60,3,2,3,2,1,1,0,1
70,1,21,4,7,2745,3,3,2,0,3,1 <= ... < 4 yrs,1,32,3,1,3,2,1,1,0,1
71,2,30,3,6,1867,4,4,1,0,3,4,1,58,3,1,4,2,1,1,0,1
72,2,36,3,6,2299,100 <= ... <  500 DM,4,1,0,3,4,1,39,3,1,4,2,1,0,0,1
73,2,24,3,7,929,4,3,1,0,3,1 <= ... < 4 yrs,1,31,stores,1,4,2,1,1,0,1
74,3,12,3,6,3399,4,4,3,0,3,4 <= ... < 7 yrs,1,37,3,1,4,3,1,0,0,1
75,1,9,3,7,2030,4,3,3,0,3,1,1,24,3,1,4,2,1,1,0,1
76,2,21,4,8,3275,4,4,4,0,3,4,1,36,3,1,4,3,1,1,0,1
77,2,24,4,1,1940,3,4,1,0,3,4,0,60,3,1,4,2,1,1,0,1
78,0,21,4,1,1602,4,4,1,2,3,4 <= ... < 7 yrs,1,30,3,1,3,2,1,1,0,1
79,2,15,3,6,1979,4,4,1,0,3,1 <= ... < 4 yrs,1,35,3,1,4,2,1,0,0,1
80,2,24,4,1,2022,4,2,1,3,3,4,1,37,3,1,4,2,1,1,0,1
81,2,36,4,6,3342,4,4,1,0,3,1 <= ... < 4 yrs,1,51,3,1,4,2,1,1,0,1
82,1,18,3,1,5866,1,2,3,0,3,1 <= ... < 4 yrs,1,30,3,1,3,2,1,1,0,1
83,3,15,4,8,2360,100 <= ... <  500 DM,2,3,0,3,1 <= ... < 4 yrs,1,36,3,1,4,2,1,1,0,1
84,2,15,4,7,1520,4,4,1,0,3,4,2,63,3,1,4,2,1,0,0,1
85,0,12,3,1,3651,3,2,4,0,3,4 <= ... < 7 yrs,2,31,3,1,4,2,0,0,0,1
86,2,24,4,8,2346,4,3,1,0,3,4 <= ... < 7 yrs,1,35,3,1,3,2,1,1,0,1
87,2,36,2,6,4454,4,2,1,3,3,4,0,34,3,1,3,2,1,0,0,1
88,0,6,4,1,666,3,3,2,3,3,4,0,39,3,1,3,1,1,1,0,1
89,1,24,2,1,1965,4,2,1,3,3,4,1,42,3,0,3,2,1,1,0,1
90,1,12,4,1,1995,1,1,1,0,3,1,1,27,3,1,4,2,1,0,0,1
91,1,30,3,6,2991,4,4,3,3,3,4,1,25,3,1,4,2,1,0,0,1
92,1,30,1,0,4221,4,2,3,3,3,1,1,28,3,1,3,2,1,0,0,1
93,0,9,3,6,1364,4,3,2,0,3,4,0,59,3,1,4,2,1,0,0,1
94,1,18,4,7,6361,4,4,3,0,3,1,3,41,3,1,4,2,1,1,0,1
95,2,27,4,7,4526,3,1,1,0,3,1 <= ... < 4 yrs,0,32,stores,1,3,1,0,1,0,1
96,1,12,4,6,3573,4,2,4,3,3,1,0,23,3,1,4,1,1,0,0,1
97,1,36,2,0,4455,4,2,3,1,3,1 <= ... < 4 yrs,0,30,stores,1,3,3,1,1,0,0
98,0,9,3,7,2136,4,2,2,0,3,1 <= ... < 4 yrs,0,25,3,1,4,2,1,0,0,1
99,1,42,4,0,5954,4,3,3,3,3,1,0,41,1,1,3,1,1,0,0,1
100,2,24,4,7,3777,3,2,1,0,3,4,0,40,3,1,4,2,1,1,0,1
101,0,15,3,0,806,4,2,1,3,3,4,2,22,3,1,4,1,1,0,0,1
102,1,24,2,0,4712,4,2,1,0,3,1 <= ... < 4 yrs,2,34,1,1,3,3,1,1,0,1
103,1,36,2,1,7432,4,2,3,3,3,1 <= ... < 4 yrs,2,54,3,0,4,2,1,0,0,1
104,2,24,4,6,1851,4,3,1,2,2,1 <= ... < 4 yrs,1,33,3,1,3,2,1,1,0,1
105,2,24,3,1,1393,4,2,3,0,2,1 <= ... < 4 yrs,0,31,3,1,4,2,1,1,0,1
106,2,12,4,0,1412,4,2,1,3,2,1 <= ... < 4 yrs,0,29,3,1,3,3,1,1,0,1
107,2,18,3,6,1473,4,1,2,2,3,4,0,39,3,1,4,2,1,1,0,1
108,2,24,3,6,1533,4,1,1,3,3,4 <= ... < 7 yrs,1,38,stores,1,4,2,1,1,0,1
109,2,12,4,3,2012,4,3,1,3,3,1 <= ... < 4 yrs,1,61,3,1,4,2,1,0,0,1
110,0,15,3,1,3959,4,2,2,3,3,1 <= ... < 4 yrs,2,29,3,1,4,2,1,1,0,0
111,0,6,3,7,428,4,4,3,3,3,1,2,49,1,1,4,2,1,1,0,1
112,1,12,4,1,2366,100 <= ... <  500 DM,3,2,1,3,4 <= ... < 7 yrs,1,36,3,1,4,3,1,1,0,1
113,2,12,3,7,763,4,2,1,3,3,1,0,26,3,1,4,2,1,1,0,1
114,1,21,3,7,3976,4,3,3,0,3,4 <= ... < 7 yrs,1,35,3,1,4,2,1,1,0,1
115,1,18,3,1,6260,4,3,2,0,3,4 <= ... < 7 yrs,0,28,3,0,4,1,1,0,0,1
116,1,9,4,7,1919,4,3,1,0,3,4 <= ... < 7 yrs,1,35,3,0,4,2,1,1,0,1
117,2,24,3,8,2603,3,2,3,3,3,4,1,28,3,0,4,2,1,1,0,1
118,2,9,4,3,936,100 <= ... <  500 DM,4,1,0,3,1 <= ... < 4 yrs,1,52,3,1,3,2,1,1,0,1
119,2,24,3,7,3062,100 <= ... <  500 DM,4,1,0,3,4 <= ... < 7 yrs,3,32,3,0,4,2,1,1,0,1
120,1,36,3,6,4795,4,1,1,3,3,1,3,30,3,1,4,3,1,1,0,1
121,2,36,4,8,5842,4,4,3,0,3,1 <= ... < 4 yrs,2,35,3,1,3,2,0,1,0,1
122,1,6,3,6,2063,4,1,1,2,3,4 <= ... < 7 yrs,1,30,3,0,4,3,1,1,0,1
123,2,15,4,6,1459,4,2,1,3,3,1 <= ... < 4 yrs,1,43,3,1,4,1,1,0,0,1
124,2,15,3,6,1213,100 <= ... <  500 DM,4,1,0,3,4 <= ... < 7 yrs,2,47,stores,1,4,2,1,1,0,1
125,2,24,4,6,5103,4,1,2,2,3,4 <= ... < 7 yrs,3,47,3,2,2,2,1,1,0,1
126,2,15,3,2,874,4,1,1,3,3,1,0,24,3,1,4,2,1,0,0,1
127,2,6,3,7,2978,100 <= ... <  500 DM,2,4,0,3,1 <= ... < 4 yrs,1,32,3,1,4,2,1,1,0,1
128,2,18,3,1,1820,4,2,3,2,3,1 <= ... < 4 yrs,2,30,3,1,4,3,1,1,0,1
129,2,24,4,6,2872,1,4,2,0,3,4,0,36,3,1,4,2,0,1,0,1
130,3,24,3,7,1925,4,2,3,0,3,1 <= ... < 4 yrs,0,26,3,1,4,2,1,0,0,1
131,2,18,3,7,2515,4,2,2,0,3,4,0,43,3,1,4,2,1,1,0,1
132,3,6,3,7,2116,4,2,3,0,3,1 <= ... < 4 yrs,0,41,3,1,4,2,1,1,0,1
133,2,18,3,6,1453,4,1,2,3,3,1,0,26,3,1,4,2,1,0,0,1
134,2,10,3,1,1364,4,2,3,3,3,4,1,64,3,1,4,2,1,1,0,1
135,2,6,3,7,1543,3,2,1,1,3,1 <= ... < 4 yrs,0,33,3,1,4,2,1,0,0,1
136,1,12,3,1,1318,3,4,1,0,3,4,0,54,3,1,4,2,1,1,0,1
137,0,24,4,1,2325,1,3,3,0,3,4 <= ... < 7 yrs,1,32,1,1,4,2,1,0,0,1
138,1,6,4,5,932,4,3,4,3,3,4 <= ... < 7 yrs,2,39,3,1,3,1,1,0,0,1
139,3,24,4,6,3148,4,2,2,0,3,1 <= ... < 4 yrs,1,31,3,1,3,2,1,1,0,1
140,2,36,3,6,3835,4,4,3,3,3,4,0,45,3,1,4,1,1,1,0,1
141,2,9,3,3,3832,4,4,4,0,3,4,0,64,3,1,4,1,1,0,0,1
142,1,24,3,6,5084,4,4,3,3,3,4,1,42,3,1,4,2,1,1,0,1
143,2,9,4,7,2406,4,0,3,0,3,4 <= ... < 7 yrs,1,31,3,1,4,3,1,0,0,1
144,2,36,3,6,2394,4,2,1,3,3,4,1,25,3,1,4,2,1,0,0,1
145,2,21,3,8,2476,4,4,1,0,3,4,0,46,3,1,4,3,1,1,0,1
146,0,24,3,8,2964,4,4,1,0,3,4,3,49,1,2,4,2,0,1,0,1
147,0,12,3,7,1262,4,4,3,1,3,4,2,49,3,1,4,1,1,1,0,1
148,2,12,3,0,1542,4,3,3,0,3,4,1,36,3,1,4,2,1,1,0,1
149,1,24,4,6,1743,4,4,1,0,3,1 <= ... < 4 yrs,2,48,3,1,3,1,1,0,0,1
150,3,12,4,6,409,3,2,2,3,3,4 <= ... < 7 yrs,0,42,3,0,3,2,1,0,0,1
151,2,12,3,6,2171,4,1,3,3,3,1 <= ... < 4 yrs,1,29,1,1,4,2,1,0,0,1
152,2,48,4,8,8858,4,3,3,0,3,1,3,35,3,2,3,2,1,1,0,1
153,1,24,3,1,3512,1,3,3,0,3,4 <= ... < 7 yrs,1,38,1,1,3,2,1,1,0,1
154,1,12,3,6,1158,100 <= ... <  500 DM,2,2,1,3,1,1,26,3,1,4,2,1,1,0,1
155,2,24,4,6,2684,4,2,1,0,3,1 <= ... < 4 yrs,0,35,3,1,3,1,1,0,0,1
156,0,12,3,6,1498,4,2,1,3,3,1,1,23,1,1,4,2,1,0,0,1
157,2,30,4,6,5954,4,3,2,0,1,1 <= ... < 4 yrs,1,38,3,1,4,2,1,0,0,1
158,1,48,4,0,6416,4,4,1,3,3,4 <= ... < 7 yrs,3,59,3,0,4,2,1,0,0,0
159,1,12,4,7,3617,4,4,4,0,3,4,1,28,3,0,2,2,1,1,0,1
160,2,12,4,6,1291,4,2,1,3,3,1 <= ... < 4 yrs,2,35,3,1,3,2,1,0,0,1
161,3,24,4,0,1275,3,2,3,1,3,4,0,36,3,1,3,2,1,1,0,1
162,2,24,3,7,3972,4,3,3,3,3,4,2,25,3,0,4,2,1,1,0,1
163,2,15,4,7,3343,4,2,1,0,3,1 <= ... < 4 yrs,3,28,3,2,4,2,1,1,0,1
164,3,15,3,3,392,4,1,1,3,3,4,2,23,3,0,4,2,1,1,0,1
165,2,9,4,1,2134,4,2,1,0,3,4,1,48,3,1,2,2,1,1,0,1
166,2,30,4,6,5771,4,3,1,3,3,1 <= ... < 4 yrs,1,25,3,1,3,2,1,0,0,1
167,2,24,4,0,4526,4,2,2,0,3,1 <= ... < 4 yrs,0,74,3,1,4,3,1,1,0,1
168,2,15,4,7,2788,4,3,3,3,1,4 <= ... < 7 yrs,1,24,1,1,3,2,1,0,0,1
169,2,6,4,6,1382,4,2,4,3,3,1,1,28,3,1,3,2,1,1,0,1
170,3,36,3,6,5848,4,2,1,0,3,1,1,24,3,1,4,2,1,0,0,1
171,0,12,3,1,1228,4,2,1,3,3,1 <= ... < 4 yrs,0,24,3,1,4,1,1,0,0,0
172,3,12,3,6,1297,4,2,2,2,3,4,0,23,3,0,4,2,1,0,0,1
173,2,24,3,6,1552,4,3,2,0,3,1,1,32,1,1,4,2,0,0,0,1
174,2,12,3,6,1963,4,3,1,0,3,1 <= ... < 4 yrs,1,31,3,0,3,3,0,1,0,1
175,2,24,3,6,3235,100 <= ... <  500 DM,4,2,1,3,1 <= ... < 4 yrs,1,36,3,1,4,3,1,1,0,1
176,2,24,4,0,4139,1,2,2,0,3,4 <= ... < 7 yrs,2,27,3,1,3,1,1,1,0,1
177,1,12,4,8,1804,1,1,2,0,3,4,2,44,3,1,4,2,1,0,0,1
178,2,18,3,0,1950,4,3,1,0,3,1,1,34,stores,1,3,2,1,1,0,1
179,2,48,2,6,12749,100 <= ... <  500 DM,3,1,0,3,1,1,37,3,1,4,3,1,1,0,1
180,2,9,3,2,1236,4,1,4,3,3,4,0,23,3,0,4,2,1,1,0,1
181,2,18,4,1,1055,4,1,1,3,3,1,2,30,3,1,3,2,1,0,0,1
182,0,30,1,0,8072,4,1,3,0,3,4 <= ... < 7 yrs,1,25,1,1,2,2,1,0,0,1
183,2,30,4,6,2831,4,2,1,3,3,1 <= ... < 4 yrs,1,33,3,1,4,2,1,1,0,1
184,2,9,3,0,1449,4,3,2,3,3,1 <= ... < 4 yrs,1,27,3,1,3,2,1,0,0,1
185,2,36,3,0,5742,1,3,3,0,3,1 <= ... < 4 yrs,1,31,3,1,3,2,1,1,0,1
186,2,12,3,1,2390,4,4,1,0,3,4 <= ... < 7 yrs,1,50,3,1,4,2,1,1,0,1
187,2,24,3,6,3430,100 <= ... <  500 DM,4,2,0,3,1 <= ... < 4 yrs,1,31,3,1,4,2,0,1,0,1
188,1,36,3,3,2273,4,3,2,0,3,1,1,32,3,1,3,2,0,0,0,1
189,3,21,3,1,2923,1,2,4,3,3,1,1,28,1,1,4,3,1,1,0,1
190,2,24,3,6,1901,1,2,1,0,3,4,1,29,3,0,4,3,1,1,0,1
191,1,36,3,3,3711,4,2,3,2,3,1 <= ... < 4 yrs,1,27,3,1,4,2,1,0,0,1
192,1,48,3,1,8487,4,3,4,3,3,1 <= ... < 4 yrs,1,24,3,1,4,2,1,0,0,1
193,2,24,3,1,2255,4,1,1,0,3,1,2,54,3,1,4,2,1,0,0,1
194,2,12,3,6,1262,4,2,2,0,3,1 <= ... < 4 yrs,1,25,3,1,4,2,1,0,0,1
195,2,33,4,8,7253,4,3,2,0,3,1 <= ... < 4 yrs,1,35,3,1,3,3,1,1,0,1
196,2,6,4,1,6761,4,3,4,0,3,4 <= ... < 7 yrs,3,45,3,1,3,3,0,1,0,1
197,2,18,4,7,1817,4,2,1,3,3,1 <= ... < 4 yrs,3,28,3,1,3,2,1,0,0,1
198,2,12,3,6,2141,1,3,2,0,3,1,3,35,3,1,4,2,1,0,0,1
199,2,48,4,0,3609,4,2,4,3,3,1,0,27,stores,1,4,2,1,0,0,1
200,2,30,3,6,2333,100 <= ... <  500 DM,4,1,0,3,1 <= ... < 4 yrs,1,30,1,1,4,3,1,0,0,1
201,2,28,4,8,7824,4,1,2,0,2,4,0,40,1,0,3,2,0,1,0,1
202,3,18,4,6,1445,4,3,1,0,3,4,1,49,1,1,4,1,1,0,0,1
203,0,24,3,7,7721,4,1,4,3,3,1 <= ... < 4 yrs,2,30,3,1,4,2,1,1,1,1
204,0,21,3,1,3763,4,3,3,0,1,1 <= ... < 4 yrs,0,24,3,1,4,1,1,0,1,1
205,1,18,3,0,4439,4,4,4,0,1,1,0,33,1,1,4,3,1,1,0,1
206,0,12,3,6,1107,4,2,3,0,3,1 <= ... < 4 yrs,0,20,3,0,4,3,0,1,0,1
207,1,15,3,6,1444,4,1,1,0,3,1,2,23,3,1,4,2,1,0,0,1
208,1,48,4,1,12169,4,0,1,0,1,4,3,36,3,2,4,3,1,1,0,1
209,2,9,3,6,2753,1,4,2,0,1,4,1,35,3,1,4,2,1,1,0,1
210,3,4,3,1,1494,4,1,4,0,3,1 <= ... < 4 yrs,0,29,3,1,4,1,0,0,1,1
211,0,24,4,7,2828,100 <= ... <  500 DM,2,1,0,3,4,0,22,stores,1,4,2,1,1,0,1
212,0,24,4,7,2483,100 <= ... <  500 DM,2,1,0,3,4,0,22,stores,1,4,2,1,1,0,1
213,3,6,4,1,1299,4,2,4,0,3,1,0,74,3,1,2,0,0,0,1,1
214,1,9,3,1,1549,4,1,1,0,3,1 <= ... < 4 yrs,0,35,3,1,4,0,1,0,0,1
215,3,10,3,1,3949,4,1,4,0,2,1,2,37,3,1,4,1,0,0,0,1
216,2,10,3,8,2901,4,1,4,3,3,4,0,31,3,0,4,2,1,0,0,1
217,3,6,3,1,709,3,1,3,2,3,1 <= ... < 4 yrs,0,27,3,1,4,0,1,0,1,1
218,0,47,3,1,10722,4,1,4,3,3,1,0,35,3,1,4,1,1,1,0,1
219,2,10,3,1,1287,4,4,1,0,1,1 <= ... < 4 yrs,2,45,3,1,4,1,1,0,1,1
220,0,18,4,6,1940,4,1,2,0,1,4,3,36,1,2,4,3,1,1,0,1
221,3,30,4,6,3656,4,4,1,0,3,4,2,49,stores,1,3,1,1,0,0,1
222,2,24,2,8,4679,4,3,2,0,3,4 <= ... < 7 yrs,1,35,3,1,3,1,1,1,0,1
223,2,27,2,8,8613,3,2,3,0,3,1 <= ... < 4 yrs,1,27,3,1,3,2,1,0,0,1
224,0,18,3,7,2659,3,2,1,0,3,1 <= ... < 4 yrs,1,28,3,1,4,2,1,0,0,1
225,2,24,4,6,1516,3,2,1,3,3,1,0,43,3,1,3,1,1,0,0,1
226,0,18,3,1,4380,1,2,2,0,3,4,1,35,3,1,4,1,0,1,0,1
227,2,14,2,1,802,4,2,1,0,3,1 <= ... < 4 yrs,1,27,3,1,3,1,1,0,0,1
228,2,21,3,0,1572,3,4,1,3,3,4,0,36,1,1,4,1,1,0,0,1
229,1,48,4,0,3566,1,3,1,0,3,1 <= ... < 4 yrs,1,30,3,1,4,2,1,0,0,1
230,2,24,3,6,1278,4,4,1,0,3,1,0,36,3,1,4,3,1,1,0,1
231,2,6,1,6,426,4,4,1,2,3,4,1,39,3,1,4,1,1,0,0,1
232,2,39,3,8,8588,1,4,1,0,3,1 <= ... < 4 yrs,1,45,3,1,4,3,1,1,0,1
233,0,30,3,8,3857,4,2,1,1,3,4,2,40,3,1,4,3,1,1,0,1
234,1,12,3,1,685,4,3,3,2,3,4 <= ... < 7 yrs,1,25,1,1,4,1,1,0,0,0
235,0,24,3,6,1603,4,4,1,3,3,4,1,55,3,1,4,2,1,0,0,1
236,2,21,3,7,2241,4,4,1,0,3,1 <= ... < 4 yrs,0,50,3,1,3,2,1,0,0,1
237,0,24,3,6,2384,4,4,1,0,3,4,0,64,1,0,4,1,1,0,0,1
238,2,4,3,7,601,4,1,4,3,3,4 <= ... < 7 yrs,0,23,3,0,4,1,0,0,0,1
239,2,39,3,8,2569,100 <= ... <  500 DM,2,1,0,3,4,1,24,3,1,4,2,1,0,0,1
240,2,15,4,6,1316,100 <= ... <  500 DM,2,3,2,3,1 <= ... < 4 yrs,2,47,3,1,3,1,1,0,0,1
241,2,60,3,1,10366,4,4,3,0,3,4,2,42,3,1,4,3,1,1,0,1
242,2,18,3,0,1568,1,2,2,3,3,4,2,24,3,0,4,1,1,0,0,1
243,2,18,4,6,629,100 <= ... <  500 DM,4,1,0,3,4 <= ... < 7 yrs,2,32,1,1,3,3,1,1,0,1
