,status,duration,credit_history,purpose,amount,savings,employment_duration,installment_rate,personal_status_sex,other_debtors,present_residence,property,age,other_installment_plans,housing,number_credits,job,people_liable,telephone,foreign_worker,credit_risk
244,2,6,4,6,1750,100 <= ... <  500 DM,4,3,0,3,4,2,45,1,1,4,1,0,0,0,1
245,2,24,3,8,3488,1,3,2,3,3,4,1,23,3,1,4,2,1,0,0,1
246,2,18,4,6,1800,4,2,1,0,3,1 <= ... < 4 yrs,1,24,3,1,3,2,1,0,0,1
247,2,24,2,7,4151,1,2,3,0,3,4 <= ... < 7 yrs,2,35,3,1,3,2,1,0,0,1
248,1,15,3,4,2631,1,2,2,3,3,1 <= ... < 4 yrs,0,25,3,1,4,1,1,0,0,1
249,2,21,3,8,5248,4,2,4,0,3,4 <= ... < 7 yrs,1,26,3,1,4,2,1,0,0,1
250,1,18,2,1,2899,4,4,1,0,3,4,1,43,3,1,4,2,0,0,0,1
251,1,18,2,4,6204,4,2,3,0,3,4,0,44,3,1,4,1,0,1,0,1
252,2,12,3,6,804,4,4,1,0,3,4,1,38,3,1,4,2,1,0,0,1
253,2,36,3,6,3595,4,4,1,0,3,1 <= ... < 4 yrs,1,28,3,1,4,2,1,0,0,1
254,2,36,4,8,5711,3,4,1,0,3,1 <= ... < 4 yrs,1,38,3,1,3,3,1,1,0,1
255,3,15,3,0,2687,4,3,3,0,3,4,2,26,3,0,4,2,1,1,0,1
256,0,15,2,7,3643,4,4,4,3,3,4,2,27,3,1,3,1,1,0,0,1
257,2,10,4,7,2146,4,1,4,3,3,4 <= ... < 7 yrs,0,23,3,0,3,2,1,0,0,1
258,0,10,3,6,2315,4,4,2,0,3,4,0,52,3,1,4,1,1,0,0,1
259,2,5,3,0,3448,4,3,4,0,3,4,0,74,3,1,4,1,1,0,0,1
260,2,15,3,7,2708,4,1,3,0,3,4 <= ... < 7 yrs,2,27,1,1,3,1,1,0,0,1
261,2,11,4,1,1393,4,1,1,3,3,4,1,35,3,1,3,3,1,0,0,1
262,3,10,3,7,1275,4,1,1,3,3,1 <= ... < 4 yrs,2,23,3,1,4,2,1,0,0,1
263,2,9,3,7,1313,4,4,4,0,3,4,1,20,3,1,4,2,1,0,0,1
264,2,12,3,6,1493,4,1,1,3,3,4 <= ... < 7 yrs,1,34,3,1,4,2,0,0,0,1
265,2,22,3,6,2675,100 <= ... <  500 DM,4,2,0,3,4,1,40,3,1,4,2,1,0,0,1
266,1,9,3,6,2118,4,2,3,0,3,1 <= ... < 4 yrs,0,37,3,1,4,1,0,0,0,1
267,2,36,3,1,909,100 <= ... <  500 DM,4,1,0,3,4,2,36,3,1,4,2,1,0,0,1
268,2,12,4,7,1258,4,1,3,3,3,4,2,22,3,0,3,1,1,0,0,1
269,2,15,4,6,1569,1,4,1,0,3,4,1,34,1,1,4,1,0,0,0,1
270,2,6,3,8,1236,100 <= ... <  500 DM,2,3,0,3,4,2,50,3,0,4,2,1,0,0,1
271,2,36,2,7,7678,100 <= ... <  500 DM,3,3,3,3,4,1,40,3,1,3,2,1,1,0,1
272,2,6,3,4,660,100 <= ... <  500 DM,3,3,2,3,4,0,23,3,0,4,1,1,0,0,1
273,2,24,3,7,2835,100 <= ... <  500 DM,4,2,0,3,4,2,53,3,1,4,2,1,0,0,1
274,2,24,3,8,2670,4,4,1,0,3,4,1,35,3,1,4,3,1,1,0,1
275,2,12,4,5,3447,100 <= ... <  500 DM,2,1,3,3,4 <= ... < 7 yrs,0,35,3,1,4,1,0,0,0,1
276,2,15,3,6,3568,4,4,1,3,3,1 <= ... < 4 yrs,1,54,1,0,4,3,1,1,0,1
277,1,21,4,0,3652,4,3,3,0,3,4 <= ... < 7 yrs,2,27,3,1,3,2,1,0,0,1
278,0,24,3,6,3660,4,2,3,3,3,4,1,28,3,1,4,2,1,0,0,1
279,3,9,3,6,1126,1,4,3,1,3,4,0,49,3,1,4,2,1,0,0,1
280,3,6,2,6,683,4,1,3,3,3,1,2,29,1,1,4,2,1,0,0,1
281,3,12,3,7,2251,4,2,4,3,3,1 <= ... < 4 yrs,1,46,3,1,4,1,1,0,0,1
282,2,12,3,8,4675,4,1,4,3,3,4,1,20,3,0,4,2,1,0,0,1
283,1,21,2,1,2353,4,2,4,1,3,4,2,47,3,1,3,2,1,0,0,1
284,0,21,3,6,3357,3,1,1,3,3,1 <= ... < 4 yrs,1,29,1,1,4,2,1,0,0,1
285,2,6,3,1,672,4,0,4,3,3,4,0,54,3,1,4,0,1,1,0,1
286,0,6,4,6,338,100 <= ... <  500 DM,4,1,0,3,4,1,52,3,1,3,2,1,0,0,1
287,2,9,3,6,2697,4,2,4,0,3,1 <= ... < 4 yrs,0,32,3,1,4,2,0,0,0,1
288,2,9,3,1,2507,100 <= ... <  500 DM,4,3,0,3,4,3,51,3,2,4,1,1,0,0,1
289,2,15,2,6,1478,4,2,1,2,3,4 <= ... < 7 yrs,0,33,1,1,3,2,1,0,0,1
290,2,12,4,3,3565,4,1,3,0,3,1,2,37,3,1,3,1,0,0,0,1
291,2,15,3,7,2221,100 <= ... <  500 DM,2,3,3,3,4,1,20,3,0,4,2,1,0,0,1
292,2,6,4,6,1898,4,2,4,0,3,1 <= ... < 4 yrs,0,34,3,1,3,1,0,0,0,1
293,1,6,2,0,1449,1,4,4,1,3,1 <= ... < 4 yrs,1,31,1,1,3,2,0,0,0,1
294,2,15,2,7,960,3,3,2,3,3,1 <= ... < 4 yrs,2,30,3,1,3,2,1,0,0,1
295,2,36,3,8,8133,4,2,4,3,3,1 <= ... < 4 yrs,2,30,1,1,4,2,1,0,0,1
296,2,9,3,7,2301,1,1,3,3,3,4,2,22,3,0,4,2,1,0,0,1
297,2,6,2,0,1743,1,2,4,0,3,1 <= ... < 4 yrs,0,34,3,1,3,1,1,0,0,1
298,1,12,3,7,983,3,1,4,3,3,4,0,19,3,0,4,1,1,0,0,1
299,2,18,2,6,2320,4,0,3,2,3,4 <= ... < 7 yrs,0,34,3,1,3,2,1,0,0,1
300,0,12,4,5,339,4,4,1,2,3,1,1,45,1,1,4,1,1,0,0,1
301,3,24,3,6,5152,4,3,1,0,3,1 <= ... < 4 yrs,1,25,1,1,4,2,1,0,0,1
302,3,24,3,7,3749,4,1,3,3,3,4,1,26,3,1,4,2,1,0,0,1
303,2,9,4,6,3074,4,2,4,0,3,1 <= ... < 4 yrs,0,33,3,1,3,2,0,0,0,1
304,3,9,3,6,745,4,2,2,3,3,1 <= ... < 4 yrs,0,28,3,1,4,1,1,0,0,0
305,2,24,3,1,1469,1,4,1,2,3,4,0,41,3,0,4,1,1,0,0,1
306,0,6,3,7,1374,4,2,4,0,3,1 <= ... < 4 yrs,0,36,1,1,4,1,1,1,0,1
307,2,6,4,1,783,4,2,4,0,2,1 <= ... < 4 yrs,0,26,stores,1,4,1,0,0,0,1
308,0,21,3,6,2606,4,1,1,3,3,4,2,28,3,0,4,3,1,1,0,1
309,2,54,1,8,9436,4,2,3,0,3,1 <= ... < 4 yrs,2,39,3,1,4,1,0,0,0,1
310,2,12,4,6,930,4,4,1,0,3,4,0,65,3,1,1,2,1,0,0,1
311,2,48,4,8,2751,4,4,1,0,3,4 <= ... < 7 yrs,1,38,3,1,3,2,0,1,0,1
312,2,6,4,1,250,3,2,3,3,3,1 <= ... < 4 yrs,0,41,1,1,3,1,1,0,0,1
313,1,24,3,1,1201,4,1,1,0,3,1,2,26,3,1,4,2,1,0,0,1
314,0,6,3,1,662,4,1,2,0,3,4,0,41,3,1,4,1,0,1,0,1
315,2,15,3,8,1300,4,4,1,0,3,4,3,45,1,2,4,2,0,0,0,1
316,2,24,4,0,1559,4,3,1,0,3,4,1,40,1,1,4,2,1,1,0,1
317,3,12,3,6,3016,4,2,2,2,3,1,1,24,3,1,4,2,1,0,0,1
318,2,15,4,6,1360,4,2,1,0,3,1 <= ... < 4 yrs,2,31,3,1,3,2,1,0,0,1
319,2,6,1,1,1204,1,2,1,0,3,1,3,35,1,0,4,2,1,0,1,1
320,2,10,3,1,1597,100 <= ... <  500 DM,2,2,0,3,1 <= ... < 4 yrs,3,40,3,0,4,1,0,0,1,1
321,2,12,3,6,2073,1,2,1,3,1,1 <= ... < 4 yrs,0,28,3,1,4,2,1,0,0,1
322,2,11,3,0,2142,3,4,4,1,3,1 <= ... < 4 yrs,0,28,3,1,4,2,1,1,0,1
323,0,10,4,7,2132,4,1,3,3,1,4 <= ... < 7 yrs,0,27,3,0,3,2,1,0,1,1
324,2,10,3,1,1546,4,2,2,0,3,1 <= ... < 4 yrs,0,31,3,1,4,1,0,0,1,1
325,2,24,4,1,1287,3,4,1,3,3,4,0,37,3,1,3,2,1,1,0,1
326,2,10,3,1,1418,1,2,2,0,3,1 <= ... < 4 yrs,0,35,3,0,4,1,1,0,1,1
327,3,6,4,1,1343,4,4,4,0,3,4,0,46,3,1,3,2,0,0,1,1
328,2,18,3,1,2662,4,3,1,0,3,4 <= ... < 7 yrs,2,32,3,1,4,2,1,0,1,1
329,2,18,4,6,6070,4,4,2,0,3,4,1,33,3,1,3,2,1,1,0,1
330,2,24,4,3,1927,4,2,2,3,3,1 <= ... < 4 yrs,1,33,3,1,3,2,1,1,0,1
331,2,18,4,6,2404,4,2,3,3,3,1 <= ... < 4 yrs,1,26,3,1,3,2,1,0,0,1
332,2,6,4,6,1554,4,3,4,3,3,1 <= ... < 4 yrs,1,24,3,0,3,2,1,1,0,1
333,2,22,3,1,1283,4,3,1,3,3,4,2,25,3,0,4,2,1,0,0,1
334,2,24,2,1,717,4,4,1,2,3,4,1,54,3,1,3,2,1,1,0,1
335,0,24,3,7,1747,4,1,1,0,1,1,2,24,3,1,4,1,1,0,1,1
336,0,9,4,4,1288,1,4,2,0,2,4,0,48,3,1,3,2,0,0,1,1
337,0,10,4,1,1038,4,3,1,0,1,4 <= ... < 7 yrs,2,49,3,1,3,2,1,1,0,1
338,2,10,3,8,2848,1,2,4,0,1,1 <= ... < 4 yrs,0,32,3,1,4,2,0,0,0,1
339,2,12,3,8,1413,3,3,2,0,3,1 <= ... < 4 yrs,2,55,3,1,4,2,1,0,1,1
340,2,30,4,6,3077,4,4,2,0,3,1 <= ... < 4 yrs,1,40,3,1,3,2,0,1,0,1
341,0,24,4,8,3632,4,2,4,3,2,4,1,22,1,0,4,2,1,0,1,1
342,2,18,4,8,3229,4,0,3,0,3,4,3,38,3,1,4,3,1,1,0,1
343,2,9,3,1,3577,1,2,4,0,2,1 <= ... < 4 yrs,0,26,3,0,4,2,0,0,1,1
344,2,12,4,1,682,1,3,1,3,3,4 <= ... < 7 yrs,1,51,3,1,3,2,1,1,0,1
345,2,10,3,6,1924,4,2,4,0,3,4,2,38,3,1,4,2,1,1,1,1
346,2,10,3,3,727,100 <= ... <  500 DM,4,1,0,3,4,3,46,3,2,4,2,1,1,0,1
347,3,10,4,1,781,4,4,1,0,3,4,3,63,3,2,3,2,1,1,0,1
348,0,12,4,1,2121,4,2,1,0,3,1 <= ... < 4 yrs,2,30,3,1,3,2,1,0,0,1
349,2,12,4,3,701,4,2,1,0,3,1 <= ... < 4 yrs,1,32,3,1,3,2,1,0,0,1
350,2,10,4,7,2069,4,2,3,2,3,1,1,26,3,1,3,2,1,0,1,1
351,2,24,3,1,1525,3,3,1,3,3,4 <= ... < 7 yrs,1,34,3,1,4,2,0,1,0,1
352,2,48,4,0,7629,4,4,1,1,3,1 <= ... < 4 yrs,1,46,1,1,3,3,0,0,0,1
353,0,12,4,1,3499,4,2,2,3,1,1 <= ... < 4 yrs,0,29,3,1,3,2,1,0,0,0
354,2,6,3,6,1346,1,4,3,0,3,4,3,42,1,2,4,2,0,1,0,1
355,2,36,4,8,10477,4,4,3,0,3,4,3,42,3,2,3,2,1,0,0,1
356,0,24,3,8,2924,4,2,2,0,2,4,3,63,1,1,4,2,0,1,0,1
357,2,10,4,1,1231,4,4,2,0,3,4,0,32,3,1,3,1,0,0,1,1
358,3,18,3,1,1961,4,4,2,3,3,1 <= ... < 4 yrs,1,23,3,1,4,3,1,0,0,1
359,2,15,4,1,5045,4,4,4,3,3,4,1,59,3,1,4,2,1,1,0,1
360,2,12,4,1,1255,4,4,1,0,3,4,0,61,3,1,3,1,1,0,0,1
361,0,12,3,7,1858,4,1,1,3,3,1,1,22,3,0,4,2,1,0,0,1
362,2,6,4,7,1221,4,2,4,2,3,1 <= ... < 4 yrs,2,27,3,1,3,2,1,0,0,1
363,2,9,3,7,1388,4,2,1,3,3,1 <= ... < 4 yrs,0,26,3,0,4,2,1,0,0,1
364,2,12,3,6,2279,4,2,1,0,3,4,3,37,3,2,4,2,1,1,0,1
365,2,12,1,7,2759,4,4,3,0,3,4,2,34,3,1,3,2,1,0,0,1
366,3,24,3,6,1258,100 <= ... <  500 DM,2,2,3,3,4 <= ... < 7 yrs,1,57,3,1,4,1,1,0,0,1
367,1,12,1,5,1410,4,2,3,0,3,1 <= ... < 4 yrs,0,31,3,1,4,1,1,1,0,1
368,0,15,3,1,1403,4,2,3,3,3,4,1,28,3,0,4,2,1,0,0,1
369,0,24,3,7,3021,4,2,3,1,3,1 <= ... < 4 yrs,0,24,3,0,4,1,1,0,0,1
370,0,24,3,0,6568,4,2,3,2,3,1 <= ... < 4 yrs,1,21,stores,1,4,1,1,0,0,1
371,2,24,4,6,2578,3,4,3,0,3,1 <= ... < 4 yrs,1,34,3,1,4,2,1,0,0,1
372,1,24,4,8,7758,3,4,3,3,3,4,3,29,3,0,4,2,1,0,0,1
373,0,6,3,2,343,4,1,1,3,3,1,0,27,3,1,4,2,1,0,0,1
374,2,21,2,7,1591,1,3,1,0,3,4 <= ... < 7 yrs,0,34,3,1,3,3,1,0,0,1
375,0,27,3,6,3416,4,2,2,0,3,1 <= ... < 4 yrs,1,27,3,1,4,3,1,0,0,1
376,0,12,1,4,1108,4,3,1,0,3,4 <= ... < 7 yrs,0,28,3,1,3,2,1,0,0,0
377,1,27,2,8,5965,4,4,4,0,3,1 <= ... < 4 yrs,1,30,3,1,3,3,1,1,0,1
378,1,15,3,4,1514,1,2,1,0,2,1 <= ... < 4 yrs,0,22,3,1,4,2,1,0,0,1
379,2,30,4,6,6742,4,3,3,0,3,4 <= ... < 7 yrs,2,36,3,1,3,2,1,0,0,1
380,0,18,3,7,3650,4,1,4,3,3,4,1,22,3,0,4,2,1,0,0,1
381,0,21,3,7,3599,4,3,4,3,3,4,1,26,3,0,4,1,1,0,0,1
382,2,60,4,1,13756,4,4,3,0,3,4,3,63,1,2,4,3,1,1,0,1
383,1,9,3,1,276,4,2,1,2,3,4,0,22,3,0,4,1,1,0,0,1
384,2,42,4,7,4041,100 <= ... <  500 DM,2,1,0,3,4,0,36,3,1,3,2,1,1,0,1
385,1,9,3,6,458,4,2,1,0,3,4 <= ... < 7 yrs,0,24,3,1,4,2,1,0,0,1
386,1,9,3,7,918,4,2,1,3,3,1,2,30,3,1,4,2,1,0,0,0
387,2,24,3,1,7393,4,2,4,0,3,4,2,43,3,1,4,1,0,0,0,1
388,3,10,3,2,1225,4,2,3,0,3,1 <= ... < 4 yrs,1,37,3,1,4,2,1,1,0,1
389,0,24,3,8,2812,4,4,3,3,3,4,0,26,3,0,4,2,1,0,0,1
390,2,15,3,8,3029,4,3,3,0,3,1 <= ... < 4 yrs,1,33,3,1,4,2,1,0,0,1
391,3,12,4,1,1480,100 <= ... <  500 DM,0,3,0,3,4,3,66,1,2,2,0,1,0,0,1
392,3,6,4,3,1047,4,2,3,3,3,4,2,50,3,1,4,1,1,0,0,1
393,2,15,4,6,1471,4,2,1,0,3,4,3,35,3,2,3,2,1,1,0,1
394,2,24,3,7,5511,1,2,1,0,3,1,1,25,stores,1,4,2,1,0,0,1
395,1,9,3,6,1206,4,4,1,3,3,4,0,25,3,1,4,2,1,0,0,1
396,1,24,2,6,6403,4,1,4,0,3,1 <= ... < 4 yrs,1,33,3,1,4,2,1,0,0,1
397,2,12,3,6,707,4,2,1,0,3,1 <= ... < 4 yrs,0,30,1,1,3,2,1,0,0,1
398,2,12,2,8,1503,4,2,1,2,3,4,0,41,3,0,4,2,1,0,0,1
399,1,12,3,1,6078,4,3,3,0,3,1 <= ... < 4 yrs,1,32,3,1,4,2,1,0,0,1
400,1,27,3,0,2528,4,1,1,3,3,1,2,32,3,1,4,2,0,1,0,1
401,1,12,3,0,1037,1,3,2,0,3,4,0,39,3,1,4,1,1,0,0,1
402,0,6,3,8,1352,100 <= ... <  500 DM,0,4,3,3,1 <= ... < 4 yrs,2,23,3,0,4,0,1,1,0,1
403,2,24,3,6,3181,4,1,1,3,3,4,2,26,3,1,4,2,1,1,0,1
404,2,18,3,6,4594,4,1,2,0,3,1 <= ... < 4 yrs,1,32,3,1,4,2,1,1,0,1
405,1,48,3,9,5381,4,0,2,0,3,4,3,40,1,2,4,0,1,1,0,1
406,2,15,3,8,4657,4,2,2,0,3,1 <= ... < 4 yrs,1,30,3,1,4,2,1,1,0,1
407,1,9,3,0,1391,4,2,3,2,3,1,0,27,1,1,4,2,1,1,0,1
408,1,18,3,0,1913,3,1,2,2,3,4 <= ... < 7 yrs,0,36,1,1,4,2,1,1,0,1
409,2,42,3,6,7166,4,3,3,2,3,4,2,29,3,0,4,2,1,1,0,1
410,2,13,3,6,1409,1,0,3,3,3,4,0,64,3,1,4,2,1,0,0,1
411,2,24,2,0,2978,4,2,1,0,3,4,0,32,3,1,3,2,0,1,0,1
412,2,12,4,6,976,4,4,1,0,3,4,1,35,3,1,3,2,1,0,0,1
413,2,24,2,0,2375,100 <= ... <  500 DM,2,1,0,3,1 <= ... < 4 yrs,1,44,3,1,3,2,0,1,0,1
414,2,12,4,6,522,100 <= ... <  500 DM,4,1,0,3,4,2,42,3,1,3,2,0,1,0,1
415,2,28,4,6,2743,4,4,1,0,3,1 <= ... < 4 yrs,1,29,3,1,3,2,1,0,0,1
416,2,11,4,6,1154,1,0,1,3,3,4,0,57,3,1,2,1,1,0,0,1
417,2,24,4,8,5804,3,2,1,0,3,1 <= ... < 4 yrs,0,27,3,1,3,2,1,0,0,1
418,2,18,4,6,1169,4,2,1,0,3,4 <= ... < 7 yrs,2,29,3,1,3,2,1,1,0,1
419,0,15,4,7,1478,4,4,1,0,3,4,1,44,3,1,3,2,0,1,0,1
420,2,12,3,6,776,4,2,1,2,3,1 <= ... < 4 yrs,0,28,3,1,4,2,1,0,0,1
421,1,11,4,1,1322,3,2,1,3,3,4,1,40,3,1,3,2,1,0,0,1
422,1,16,4,1,1175,4,0,3,0,3,4 <= ... < 7 yrs,1,68,3,2,2,0,1,1,0,1
423,2,12,3,1,2133,4,4,1,3,3,4,3,52,3,2,4,3,1,1,0,1
424,2,15,4,6,1829,4,4,1,0,3,4,1,46,3,1,3,2,1,1,0,1
425,2,12,4,6,717,4,4,1,0,3,4,0,52,3,1,2,2,1,0,0,1
426,1,39,2,3,11760,1,3,3,0,3,4 <= ... < 7 yrs,3,32,3,0,4,2,1,1,0,1
427,1,9,4,3,1501,4,4,3,3,3,4 <= ... < 7 yrs,1,34,3,1,3,3,1,1,0,0
428,0,12,3,3,1200,4,2,1,3,3,4,2,23,1,0,4,2,1,1,0,1
429,1,9,3,1,3195,4,2,4,3,3,1 <= ... < 4 yrs,0,33,3,1,4,1,1,0,0,1
430,2,30,4,6,4530,4,3,1,3,3,4,1,26,3,0,4,3,1,1,0,1
431,2,12,2,4,1555,3,4,1,0,3,4,3,55,3,2,3,2,0,0,0,0
432,1,15,4,0,2326,100 <= ... <  500 DM,2,3,0,3,4,1,27,1,1,4,2,1,0,0,1
433,1,18,4,0,1887,4,2,1,2,3,4,0,28,1,1,3,2,1,0,0,1
434,2,12,4,0,1264,4,4,1,0,3,4,3,57,3,0,4,1,1,0,0,1
435,2,7,2,6,846,4,4,2,0,3,4,3,36,3,2,4,2,1,0,0,1
436,2,15,4,3,1532,1,2,1,3,3,4 <= ... < 7 yrs,1,31,3,1,4,2,1,0,0,1
437,2,6,2,6,935,4,2,2,3,3,1 <= ... < 4 yrs,0,24,3,1,4,2,1,0,0,1
438,0,27,4,0,2442,4,4,1,0,3,4,1,43,stores,1,1,3,0,1,0,1
439,1,18,4,0,3590,4,0,2,2,3,4 <= ... < 7 yrs,1,40,3,1,2,0,0,1,0,1
440,2,21,4,7,2288,4,1,1,3,3,4,2,23,3,1,4,2,1,1,0,1
441,2,27,2,0,5117,4,3,2,0,3,4,1,26,3,1,3,2,1,0,0,1
442,0,39,4,7,14179,4,3,1,0,3,4,2,30,3,1,3,3,1,1,0,1
443,2,15,3,6,1386,4,2,1,2,3,1 <= ... < 4 yrs,0,40,3,0,4,2,1,1,0,1
444,2,12,4,6,618,4,4,1,0,3,4,0,56,3,1,4,2,1,0,0,1
445,2,12,3,7,1574,4,2,1,0,3,1 <= ... < 4 yrs,0,50,3,1,4,2,1,0,0,1
446,2,6,4,6,700,4,4,1,0,3,4,3,36,3,2,3,2,1,0,0,1
447,2,12,3,6,886,4,2,1,3,3,1 <= ... < 4 yrs,1,21,3,1,4,2,1,0,0,1
448,2,36,3,8,4686,4,2,3,0,3,1 <= ... < 4 yrs,3,32,3,2,4,3,1,1,0,1
449,1,9,3,6,790,100 <= ... <  500 DM,2,1,3,3,4 <= ... < 7 yrs,0,66,3,1,4,1,1,0,0,1
450,1,12,3,6,766,100 <= ... <  500 DM,2,1,0,3,4 <= ... < 7 yrs,0,66,3,1,4,1,1,0,0,0
451,0,20,3,7,2212,4,3,1,0,3,4,1,39,3,1,4,2,1,1,0,1
452,1,10,3,1,7308,4,0,3,0,3,4,3,70,1,2,4,3,1,1,0,1
453,1,24,4,3,5743,4,1,3,3,3,4,3,24,3,2,3,2,1,1,0,1
454,0,14,3,1,3973,4,0,4,0,3,4,3,22,3,2,4,2,1,0,0,1
455,1,60,2,6,7418,4,2,4,0,3,1,0,27,3,1,4,1,1,0,0,1
456,1,20,2,9,2629,4,2,3,0,3,4 <= ... < 7 yrs,1,29,1,1,3,2,1,1,0,1
457,1,18,3,0,1941,3,2,1,0,3,1 <= ... < 4 yrs,2,35,3,1,4,1,1,1,0,1
458,1,24,2,7,2333,4,1,1,0,3,1 <= ... < 4 yrs,2,29,1,1,4,1,1,0,0,1
459,2,12,3,8,2445,4,1,3,2,3,4,1,26,3,0,4,2,1,1,0,1
460,1,20,3,8,6468,4,0,4,1,3,4,0,60,3,1,4,3,1,1,0,1
461,1,18,4,7,7374,4,0,1,0,3,4,2,40,stores,1,3,3,1,1,0,1
462,2,15,3,8,3812,1,1,4,3,3,4,1,23,3,1,4,2,1,1,0,1
463,0,28,3,1,4006,4,2,2,0,3,1 <= ... < 4 yrs,1,45,3,1,4,1,1,0,0,0
464,1,12,3,1,7472,4,0,4,3,3,1 <= ... < 4 yrs,0,24,3,0,4,0,1,0,0,1
465,3,12,3,7,1424,4,4,2,3,3,4,0,55,3,1,4,3,1,1,0,1
466,1,12,3,8,2028,4,2,1,0,3,1 <= ... < 4 yrs,1,30,3,1,4,2,1,0,0,1
467,2,15,3,1,5324,100 <= ... <  500 DM,4,4,3,3,4,3,35,3,2,4,2,1,0,0,1
468,1,36,3,6,2323,4,3,1,0,3,4,1,24,3,0,4,2,1,0,0,1
469,2,12,3,3,1393,4,4,1,0,3,4,2,47,1,1,2,2,0,1,0,1
470,2,18,3,7,1984,4,2,1,0,3,4,3,47,1,2,3,2,1,0,0,1
471,2,24,3,6,999,4,4,1,0,3,1 <= ... < 4 yrs,1,25,3,1,3,2,1,0,0,1
472,2,36,3,0,7409,4,4,2,0,3,1 <= ... < 4 yrs,2,37,3,1,3,2,1,0,0,1
473,2,15,3,7,2186,4,3,4,3,3,4,0,33,1,0,4,1,1,0,0,1
474,3,36,3,6,4473,4,4,1,0,3,1 <= ... < 4 yrs,1,31,3,1,4,2,1,0,0,1
475,2,24,3,5,937,4,1,1,2,3,4 <= ... < 7 yrs,1,27,3,1,3,1,1,0,0,1
476,2,18,3,7,3422,4,4,1,0,3,4,2,47,1,1,2,2,0,1,0,1
477,2,24,3,6,3105,4,1,1,0,3,1 <= ... < 4 yrs,1,25,3,1,3,2,1,0,0,1
478,2,12,4,3,2748,4,4,3,3,3,4,3,57,1,2,2,1,1,0,0,1
479,1,18,3,4,3872,4,0,3,3,3,4,1,67,3,1,4,2,1,1,0,1
480,2,27,3,4,5190,4,4,1,0,3,4,2,48,3,1,1,2,0,1,0,1
481,1,18,3,7,3001,4,3,3,3,3,4,0,40,3,0,4,2,1,0,0,1
482,2,24,2,0,3863,4,2,4,0,3,1 <= ... < 4 yrs,3,32,3,2,4,2,1,0,0,1
483,2,12,4,7,5801,4,4,3,0,3,4,2,49,3,0,4,2,1,1,1,1
484,2,12,4,7,1592,3,3,2,3,3,1 <= ... < 4 yrs,2,35,3,1,4,2,1,0,0,1
485,2,12,4,0,1185,4,2,2,3,3,1 <= ... < 4 yrs,0,27,3,1,3,2,1,0,0,1
486,2,18,4,7,3780,4,1,2,1,3,1 <= ... < 4 yrs,1,35,3,1,3,3,1,1,0,1
487,1,18,4,7,3612,4,4,2,3,3,4,2,37,3,1,4,2,1,1,1,1
488,2,12,3,0,1076,4,2,3,2,3,1 <= ... < 4 yrs,0,26,3,1,4,2,1,1,0,1
489,2,12,3,1,3527,4,1,3,0,3,4 <= ... < 7 yrs,2,45,3,1,4,3,0,1,0,1
490,2,18,3,6,2051,4,1,1,0,3,1,0,33,3,1,4,2,1,0,0,1
491,2,12,4,7,3331,4,4,3,0,3,4,2,42,stores,1,4,2,1,0,0,1
492,0,18,1,0,3104,4,3,2,0,3,1,2,31,1,1,4,2,1,1,0,1
